permutation,best_cell_id,maximum_median_strategy_return
1,logistic_regression__long_train__train2000_test250_step250,0.03423266365570932
2,random_forest__short_train__train1000_test250_step250,0.009358061382927607
3,random_forest__long_train__train2000_test250_step250,0.06666840902126925
4,gradient_boosting__short_train__train1000_test250_step250,0.02652057265181096
5,gradient_boosting__long_train__train2000_test250_step250,0.024556784988318592
6,random_forest__long_train__train2000_test250_step250,0.022724680072698122
7,logistic_regression__long_train__train2000_test250_step250,0.03454043401148721
8,random_forest__long_train__train2000_test250_step250,0.020847683312178233
9,random_forest__long_train__train2000_test250_step250,0.022343424278883806
10,logistic_regression__long_train__train2000_test250_step250,0.015435473119847165
11,logistic_regression__long_train__train2000_test250_step250,0.025224580152579223
12,logistic_regression__long_train__train2000_test250_step250,0.0243763341114418
13,gradient_boosting__baseline__train1500_test250_step250,0.03879762440345558
14,logistic_regression__baseline__train1500_test250_step250,0.004078565306383286
15,logistic_regression__long_train__train2000_test250_step250,0.06705042859640686
16,random_forest__baseline__train1500_test250_step250,0.07779685532711156
17,random_forest__long_train__train2000_test250_step250,0.05063203090133239
18,logistic_regression__baseline__train1500_test250_step250,0.006000045923901132
19,gradient_boosting__short_train__train1000_test250_step250,0.02495308767829174
20,gradient_boosting__long_train__train2000_test250_step250,0.03333256198938206
21,gradient_boosting__long_train__train2000_test250_step250,0.021880893552336245
22,logistic_regression__short_train__train1000_test250_step250,0.034994402298454075
23,random_forest__short_train__train1000_test250_step250,0.01983621412383063
24,logistic_regression__short_train__train1000_test250_step250,0.03905037317068105
25,gradient_boosting__short_train__train1000_test250_step250,0.025987717498741514
26,logistic_regression__long_train__train2000_test250_step250,0.061634752934762504
27,random_forest__short_train__train1000_test250_step250,0.0481662045896325
28,logistic_regression__short_train__train1000_test250_step250,0.003915259927958603
29,gradient_boosting__long_train__train2000_test250_step250,0.03098549911918691
30,logistic_regression__short_train__train1000_test250_step250,8.251426379546345e-05
31,logistic_regression__long_train__train2000_test250_step250,0.027621048497566525
32,gradient_boosting__baseline__train1500_test250_step250,0.058177035386504095
33,logistic_regression__short_train__train1000_test250_step250,0.017837459531558242
34,gradient_boosting__short_train__train1000_test250_step250,0.0968436287553982
35,random_forest__baseline__train1500_test250_step250,0.053535355201767
36,logistic_regression__long_train__train2000_test250_step250,0.0024624618267232723
37,random_forest__long_train__train2000_test250_step250,0.007132589250066879
38,logistic_regression__long_train__train2000_test250_step250,0.02325906056819016
39,gradient_boosting__short_train__train1000_test250_step250,0.0004746576092686805
40,gradient_boosting__short_train__train1000_test250_step250,0.05647631827287203
41,logistic_regression__long_train__train2000_test250_step250,0.02521731134217431
42,logistic_regression__short_train__train1000_test250_step250,0.0051860024077510225
43,logistic_regression__short_train__train1000_test250_step250,0.03737932082607509
44,logistic_regression__long_train__train2000_test250_step250,0.033771705770305305
45,logistic_regression__long_train__train2000_test250_step250,0.043739296115646864
46,random_forest__baseline__train1500_test250_step250,0.05526215223423492
47,random_forest__long_train__train2000_test250_step250,0.03447878512256786
48,random_forest__long_train__train2000_test250_step250,0.03192769680433738
49,random_forest__short_train__train1000_test250_step250,0.052795666958321386
50,gradient_boosting__short_train__train1000_test250_step250,0.03620688939093486
51,random_forest__long_train__train2000_test250_step250,0.05282053573291545
52,logistic_regression__baseline__train1500_test250_step250,0.017652209237372762
53,gradient_boosting__long_train__train2000_test250_step250,0.01404526777327697
54,logistic_regression__short_train__train1000_test250_step250,0.03771165179129321
55,logistic_regression__baseline__train1500_test250_step250,0.029385735835887106
56,gradient_boosting__short_train__train1000_test250_step250,0.005850962626149148
57,gradient_boosting__long_train__train2000_test250_step250,0.03338161656980643
58,logistic_regression__baseline__train1500_test250_step250,0.008123585657880072
59,gradient_boosting__baseline__train1500_test250_step250,0.04627850514074083
60,logistic_regression__baseline__train1500_test250_step250,-0.0016965040648780905
61,logistic_regression__long_train__train2000_test250_step250,0.04253323722324276
62,random_forest__baseline__train1500_test250_step250,0.045486924215066615
63,gradient_boosting__long_train__train2000_test250_step250,0.03300137343153953
64,gradient_boosting__short_train__train1000_test250_step250,0.05315480890096125
65,gradient_boosting__long_train__train2000_test250_step250,0.0018948292478770945
66,random_forest__baseline__train1500_test250_step250,0.02751188427892437
67,logistic_regression__baseline__train1500_test250_step250,0.026822719365724446
68,logistic_regression__long_train__train2000_test250_step250,0.06237728334843373
69,gradient_boosting__short_train__train1000_test250_step250,0.03192061089123621
70,logistic_regression__long_train__train2000_test250_step250,0.054384118532236014
71,logistic_regression__long_train__train2000_test250_step250,0.033208272077723144
72,logistic_regression__baseline__train1500_test250_step250,0.024110863316795683
73,random_forest__baseline__train1500_test250_step250,0.041939225095229515
74,random_forest__short_train__train1000_test250_step250,0.02932196589226166
75,logistic_regression__baseline__train1500_test250_step250,0.029725008770270067
76,gradient_boosting__baseline__train1500_test250_step250,0.03930325122360334
77,gradient_boosting__long_train__train2000_test250_step250,0.05911870870836733
78,gradient_boosting__baseline__train1500_test250_step250,0.02901712119167743
79,logistic_regression__long_train__train2000_test250_step250,0.06817959116611871
80,gradient_boosting__short_train__train1000_test250_step250,0.047013857968028594
81,logistic_regression__baseline__train1500_test250_step250,0.016655066756900316
82,logistic_regression__baseline__train1500_test250_step250,0.039657077204618085
83,logistic_regression__short_train__train1000_test250_step250,0.029180902245240725
84,random_forest__baseline__train1500_test250_step250,0.022634279596007056
85,random_forest__short_train__train1000_test250_step250,0.018503146323487707
86,logistic_regression__baseline__train1500_test250_step250,0.0632913216547335
87,random_forest__baseline__train1500_test250_step250,0.03801322887196035
88,logistic_regression__baseline__train1500_test250_step250,0.02708818626207332
89,logistic_regression__short_train__train1000_test250_step250,0.009117991411799364
90,random_forest__short_train__train1000_test250_step250,0.0344720260553506
91,gradient_boosting__baseline__train1500_test250_step250,0.03832618784442743
92,logistic_regression__baseline__train1500_test250_step250,0.04648207132268145
93,random_forest__short_train__train1000_test250_step250,0.024669242757831222
94,random_forest__short_train__train1000_test250_step250,0.04826181987212608
95,logistic_regression__short_train__train1000_test250_step250,0.002043178588001515
96,random_forest__baseline__train1500_test250_step250,0.07887351877344262
97,gradient_boosting__long_train__train2000_test250_step250,0.0236018686000925
98,gradient_boosting__long_train__train2000_test250_step250,0.007575997406660706
99,logistic_regression__short_train__train1000_test250_step250,0.009234472087943146
100,gradient_boosting__long_train__train2000_test250_step250,0.03217933185109634
101,gradient_boosting__baseline__train1500_test250_step250,0.0244546455864163
102,gradient_boosting__long_train__train2000_test250_step250,0.01842256694097233
103,gradient_boosting__long_train__train2000_test250_step250,0.03440433584178981
104,random_forest__short_train__train1000_test250_step250,-0.0029609849571783364
105,logistic_regression__long_train__train2000_test250_step250,0.0561495864214665
106,random_forest__short_train__train1000_test250_step250,0.03225435353559236
107,gradient_boosting__baseline__train1500_test250_step250,0.02385402070723175
108,random_forest__short_train__train1000_test250_step250,0.016855837972182375
109,gradient_boosting__short_train__train1000_test250_step250,0.036959212089285876
110,gradient_boosting__long_train__train2000_test250_step250,0.01691205313862021
111,random_forest__short_train__train1000_test250_step250,0.014128823317997252
112,random_forest__long_train__train2000_test250_step250,0.017540010810702666
113,gradient_boosting__long_train__train2000_test250_step250,0.023758493947115822
114,random_forest__long_train__train2000_test250_step250,0.0012265480032440657
115,logistic_regression__short_train__train1000_test250_step250,0.034702385393644786
116,gradient_boosting__long_train__train2000_test250_step250,0.012357263873271629
117,gradient_boosting__short_train__train1000_test250_step250,0.02771838783695646
118,random_forest__long_train__train2000_test250_step250,0.05501069683921278
119,random_forest__baseline__train1500_test250_step250,0.03770531089993545
120,random_forest__short_train__train1000_test250_step250,0.03895842983854081
121,logistic_regression__baseline__train1500_test250_step250,0.012489399529495238
122,logistic_regression__short_train__train1000_test250_step250,0.03200865288565091
123,logistic_regression__baseline__train1500_test250_step250,0.036278722967826305
124,logistic_regression__short_train__train1000_test250_step250,0.01813436778835187
125,logistic_regression__short_train__train1000_test250_step250,0.054473724058210715
126,logistic_regression__long_train__train2000_test250_step250,0.024167878185442637
127,random_forest__long_train__train2000_test250_step250,0.033785793178007895
128,logistic_regression__baseline__train1500_test250_step250,0.04854158348486459
129,logistic_regression__short_train__train1000_test250_step250,0.054128378552576795
130,gradient_boosting__long_train__train2000_test250_step250,0.033972667523304745
131,random_forest__long_train__train2000_test250_step250,0.03554623928862943
132,gradient_boosting__baseline__train1500_test250_step250,0.05733131304960448
133,gradient_boosting__long_train__train2000_test250_step250,0.03581288412506489
134,random_forest__short_train__train1000_test250_step250,0.01484675603237906
135,random_forest__baseline__train1500_test250_step250,0.0652748510482355
136,logistic_regression__baseline__train1500_test250_step250,0.03823774968009097
137,gradient_boosting__baseline__train1500_test250_step250,0.08038514625285709
138,gradient_boosting__long_train__train2000_test250_step250,0.04002072354410324
139,gradient_boosting__baseline__train1500_test250_step250,0.0646978663893285
140,gradient_boosting__short_train__train1000_test250_step250,0.0073750032488961725
141,gradient_boosting__long_train__train2000_test250_step250,0.016615469891010592
142,logistic_regression__long_train__train2000_test250_step250,0.04052505862510025
143,gradient_boosting__short_train__train1000_test250_step250,0.03209232364441994
144,gradient_boosting__short_train__train1000_test250_step250,0.040810740553786085
145,logistic_regression__baseline__train1500_test250_step250,0.019342897735475706
146,random_forest__long_train__train2000_test250_step250,0.03125221319844851
147,random_forest__baseline__train1500_test250_step250,0.044620645282151816
148,logistic_regression__short_train__train1000_test250_step250,0.005823064484828722
149,random_forest__long_train__train2000_test250_step250,0.022722249080974644
150,random_forest__long_train__train2000_test250_step250,0.03672665517838336
151,logistic_regression__long_train__train2000_test250_step250,0.03170640862275098
152,random_forest__baseline__train1500_test250_step250,0.05040692780916345
153,gradient_boosting__short_train__train1000_test250_step250,0.04827119682278269
154,logistic_regression__long_train__train2000_test250_step250,0.017979055477392425
155,gradient_boosting__long_train__train2000_test250_step250,0.03140485071997001
156,logistic_regression__baseline__train1500_test250_step250,0.023331293950460186
157,random_forest__baseline__train1500_test250_step250,0.04722606369385107
158,logistic_regression__long_train__train2000_test250_step250,0.04072676422811039
159,gradient_boosting__long_train__train2000_test250_step250,0.006191305823370019
160,random_forest__long_train__train2000_test250_step250,0.038172091253704465
161,gradient_boosting__baseline__train1500_test250_step250,0.013230214346141134
162,logistic_regression__baseline__train1500_test250_step250,0.06033705614424356
163,gradient_boosting__long_train__train2000_test250_step250,0.02904679486188977
164,random_forest__short_train__train1000_test250_step250,0.07076962189035951
165,random_forest__long_train__train2000_test250_step250,0.04131616942808014
166,gradient_boosting__baseline__train1500_test250_step250,-0.01415963017007904
167,random_forest__baseline__train1500_test250_step250,0.019287830504701065
168,logistic_regression__long_train__train2000_test250_step250,0.03574023369099533
169,random_forest__long_train__train2000_test250_step250,0.024151935472757513
170,gradient_boosting__short_train__train1000_test250_step250,0.022681515045446243
171,gradient_boosting__long_train__train2000_test250_step250,0.02984026289997499
172,logistic_regression__baseline__train1500_test250_step250,0.04354508516491662
173,random_forest__baseline__train1500_test250_step250,0.01980278146605241
174,gradient_boosting__baseline__train1500_test250_step250,0.051939378923851365
175,logistic_regression__baseline__train1500_test250_step250,0.02323511559839031
176,gradient_boosting__long_train__train2000_test250_step250,0.01571571681294537
177,logistic_regression__long_train__train2000_test250_step250,0.022085179305872726
178,random_forest__long_train__train2000_test250_step250,0.024132999970641666
179,gradient_boosting__baseline__train1500_test250_step250,0.04356196809291224
180,logistic_regression__long_train__train2000_test250_step250,0.04028222081705146
181,random_forest__short_train__train1000_test250_step250,0.012196917997354895
182,random_forest__long_train__train2000_test250_step250,0.03504171913267329
183,random_forest__long_train__train2000_test250_step250,0.025363868391576005
184,gradient_boosting__long_train__train2000_test250_step250,0.06336517145193832
185,gradient_boosting__baseline__train1500_test250_step250,0.017983661384134653
186,random_forest__baseline__train1500_test250_step250,0.027845099292384434
187,gradient_boosting__long_train__train2000_test250_step250,0.029607255233958796
188,gradient_boosting__baseline__train1500_test250_step250,-0.001791766290336727
189,gradient_boosting__baseline__train1500_test250_step250,0.03400585353523433
190,gradient_boosting__short_train__train1000_test250_step250,0.005128341977815198
191,logistic_regression__baseline__train1500_test250_step250,0.01881438143522085
192,random_forest__long_train__train2000_test250_step250,0.028583930012536563
193,random_forest__short_train__train1000_test250_step250,0.027470302711704253
194,logistic_regression__long_train__train2000_test250_step250,0.044552170136255675
195,random_forest__long_train__train2000_test250_step250,0.05028564901335009
196,gradient_boosting__baseline__train1500_test250_step250,0.05895402614866496
197,logistic_regression__long_train__train2000_test250_step250,0.048322701457031325
198,random_forest__baseline__train1500_test250_step250,0.03137829250386348
199,random_forest__long_train__train2000_test250_step250,0.015253819729750262
200,gradient_boosting__baseline__train1500_test250_step250,0.032890748640494794
201,gradient_boosting__long_train__train2000_test250_step250,0.017198169942288066
202,random_forest__short_train__train1000_test250_step250,0.05011879994507562
203,gradient_boosting__baseline__train1500_test250_step250,0.025175783576604882
204,gradient_boosting__baseline__train1500_test250_step250,0.031168645855643273
205,gradient_boosting__long_train__train2000_test250_step250,0.02703917561106084
206,logistic_regression__long_train__train2000_test250_step250,0.059830631948201596
207,gradient_boosting__short_train__train1000_test250_step250,0.05424008536819325
208,gradient_boosting__short_train__train1000_test250_step250,0.0425042438941905
209,random_forest__long_train__train2000_test250_step250,-0.0042238279614377205
210,random_forest__short_train__train1000_test250_step250,0.0324530133499461
211,logistic_regression__baseline__train1500_test250_step250,0.017807755736130026
212,gradient_boosting__short_train__train1000_test250_step250,0.058816562256894134
213,gradient_boosting__baseline__train1500_test250_step250,0.023200636947532383
214,logistic_regression__baseline__train1500_test250_step250,0.04826144556310519
215,gradient_boosting__short_train__train1000_test250_step250,0.03147640889586634
216,logistic_regression__long_train__train2000_test250_step250,0.03764648448645058
217,random_forest__short_train__train1000_test250_step250,0.03565265030671294
218,logistic_regression__long_train__train2000_test250_step250,0.02858847690665378
219,gradient_boosting__long_train__train2000_test250_step250,0.044180164621529405
220,random_forest__short_train__train1000_test250_step250,0.007470921668627728
221,gradient_boosting__baseline__train1500_test250_step250,0.061917662206957935
222,gradient_boosting__long_train__train2000_test250_step250,0.028279239088021324
223,random_forest__short_train__train1000_test250_step250,0.00676650958816416
224,logistic_regression__long_train__train2000_test250_step250,0.016740454318297848
225,logistic_regression__baseline__train1500_test250_step250,0.015832153452504993
226,logistic_regression__long_train__train2000_test250_step250,0.016424029079239455
227,random_forest__long_train__train2000_test250_step250,0.025655752785734842
228,random_forest__short_train__train1000_test250_step250,0.0562620483110019
229,gradient_boosting__baseline__train1500_test250_step250,0.0631118341535033
230,logistic_regression__short_train__train1000_test250_step250,0.01950984144264889
231,gradient_boosting__short_train__train1000_test250_step250,0.04783056608519254
232,gradient_boosting__long_train__train2000_test250_step250,0.04333540258895985
233,gradient_boosting__long_train__train2000_test250_step250,0.026542205534469954
234,logistic_regression__long_train__train2000_test250_step250,0.019459226186904655
235,random_forest__short_train__train1000_test250_step250,0.034455672771335655
236,logistic_regression__baseline__train1500_test250_step250,0.03428084932708053
237,gradient_boosting__short_train__train1000_test250_step250,0.00876557679938772
238,logistic_regression__baseline__train1500_test250_step250,0.017553988146990607
239,gradient_boosting__long_train__train2000_test250_step250,0.07721617328493657
240,logistic_regression__baseline__train1500_test250_step250,0.009699048082743023
241,gradient_boosting__long_train__train2000_test250_step250,0.029981770532968355
242,random_forest__short_train__train1000_test250_step250,0.019278406379394264
243,logistic_regression__baseline__train1500_test250_step250,0.028744764346076312
244,logistic_regression__short_train__train1000_test250_step250,0.04727734846455611
245,random_forest__long_train__train2000_test250_step250,0.04600532389752021
246,logistic_regression__short_train__train1000_test250_step250,0.027116887153976643
247,logistic_regression__long_train__train2000_test250_step250,0.031900217795718167
248,gradient_boosting__long_train__train2000_test250_step250,0.01673005099692948
249,random_forest__short_train__train1000_test250_step250,0.017768401526057742
250,logistic_regression__baseline__train1500_test250_step250,0.030835083002452413
251,gradient_boosting__baseline__train1500_test250_step250,0.0011743748685146826
252,random_forest__baseline__train1500_test250_step250,0.01877806569439322
253,gradient_boosting__long_train__train2000_test250_step250,0.04242617818647365
254,logistic_regression__long_train__train2000_test250_step250,-0.010793933421072599
255,logistic_regression__baseline__train1500_test250_step250,0.043516454461784315
256,logistic_regression__long_train__train2000_test250_step250,0.03691224958109296
257,random_forest__long_train__train2000_test250_step250,0.04424152031580042
258,logistic_regression__long_train__train2000_test250_step250,0.04036848497702561
259,gradient_boosting__baseline__train1500_test250_step250,0.04754905703296841
260,gradient_boosting__short_train__train1000_test250_step250,0.030363958656980827
261,random_forest__short_train__train1000_test250_step250,0.06620028079424989
262,random_forest__baseline__train1500_test250_step250,0.019776499954391014
263,logistic_regression__long_train__train2000_test250_step250,0.028638910699081865
264,random_forest__long_train__train2000_test250_step250,0.05140734068008279
265,random_forest__baseline__train1500_test250_step250,0.046570133903133026
266,logistic_regression__baseline__train1500_test250_step250,0.006350443974284747
267,logistic_regression__long_train__train2000_test250_step250,0.031776758065487964
268,logistic_regression__short_train__train1000_test250_step250,0.017187296081597303
269,gradient_boosting__long_train__train2000_test250_step250,0.047897957870331354
270,random_forest__short_train__train1000_test250_step250,0.020554786849848128
271,logistic_regression__short_train__train1000_test250_step250,0.0546830941790577
272,gradient_boosting__long_train__train2000_test250_step250,0.039120785966861416
273,gradient_boosting__long_train__train2000_test250_step250,0.04599746259251347
274,gradient_boosting__long_train__train2000_test250_step250,0.034265052798258644
275,gradient_boosting__long_train__train2000_test250_step250,0.05392209741016596
276,gradient_boosting__baseline__train1500_test250_step250,0.008340606249865656
277,random_forest__long_train__train2000_test250_step250,0.01921753229452383
278,gradient_boosting__short_train__train1000_test250_step250,0.029214985180288533
279,logistic_regression__short_train__train1000_test250_step250,0.03497006971440908
280,random_forest__baseline__train1500_test250_step250,0.04849439745131545
281,logistic_regression__short_train__train1000_test250_step250,0.04878769288790208
282,random_forest__baseline__train1500_test250_step250,0.008315031736882528
283,logistic_regression__long_train__train2000_test250_step250,0.040312917537117965
284,random_forest__long_train__train2000_test250_step250,0.0765582883362319
285,logistic_regression__short_train__train1000_test250_step250,0.025865336823599927
286,gradient_boosting__long_train__train2000_test250_step250,0.04920371359063269
287,logistic_regression__long_train__train2000_test250_step250,0.014837705738295126
288,logistic_regression__short_train__train1000_test250_step250,6.827235800055398e-05
289,logistic_regression__long_train__train2000_test250_step250,0.04012656943559256
290,random_forest__short_train__train1000_test250_step250,0.04301075255867359
291,logistic_regression__long_train__train2000_test250_step250,0.023926493627842493
292,gradient_boosting__long_train__train2000_test250_step250,0.03704983485793023
293,random_forest__baseline__train1500_test250_step250,0.051557669770743164
294,random_forest__long_train__train2000_test250_step250,0.020240606655315574
295,gradient_boosting__short_train__train1000_test250_step250,0.08350338125305745
296,gradient_boosting__short_train__train1000_test250_step250,0.030590339635110597
297,gradient_boosting__short_train__train1000_test250_step250,0.02750848729799027
298,logistic_regression__long_train__train2000_test250_step250,0.04664984563696262
299,logistic_regression__baseline__train1500_test250_step250,0.026351844108084554
300,gradient_boosting__baseline__train1500_test250_step250,0.053650025598204865
301,gradient_boosting__short_train__train1000_test250_step250,0.020359952328294018
302,logistic_regression__long_train__train2000_test250_step250,0.01764425716508744
303,logistic_regression__short_train__train1000_test250_step250,0.012594706004865897
304,logistic_regression__short_train__train1000_test250_step250,-7.952915852815767e-05
305,logistic_regression__baseline__train1500_test250_step250,0.012147391883470249
306,logistic_regression__long_train__train2000_test250_step250,0.06158029731733494
307,gradient_boosting__long_train__train2000_test250_step250,0.02957964027682003
308,random_forest__baseline__train1500_test250_step250,0.028728644573656092
309,logistic_regression__short_train__train1000_test250_step250,0.00042213089671228055
310,logistic_regression__baseline__train1500_test250_step250,0.009931428285770094
311,random_forest__long_train__train2000_test250_step250,0.0270528288072589
312,logistic_regression__baseline__train1500_test250_step250,0.02582625776777503
313,logistic_regression__short_train__train1000_test250_step250,0.029202719457740445
314,random_forest__long_train__train2000_test250_step250,0.029630248691943084
315,random_forest__long_train__train2000_test250_step250,0.00313437930590843
